Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2022-01-01,1305.425863,184040.093747,16168.420525,198480.465065,352.392301,121945.969167,837.31649,31733.110725,-1247.777741,419074.163569,214648.88559,973937.357452
2022-01-02,2134.633429,183287.593279,71750.822284,433268.682328,535.153416,122250.573131,601.931473,53505.877342,-716.061435,293705.819778,505019.504612,1161041.08646
2022-01-03,2174.212671,200123.29916,76994.756951,484875.172874,589.093166,122460.603269,844.314706,56089.458435,-898.891062,232313.674979,561869.929825,1176464.5862109999
2022-01-04,2024.223091,178891.290163,26691.55651,290317.948251,300.980185,122502.643616,882.662432,35089.562986,-1116.899335,429506.337755,317009.50476100005,1086207.204989
2022-01-05,1851.635799,195246.516847,29794.455709,330759.939487,312.346357,122516.432066,851.516829,55355.5242,-1192.705802,259970.790594,360554.395196,996659.1578879999
2022-01-06,1801.360485,200556.475732,39328.811787,366026.376156,619.011826,122310.458465,805.988648,48768.181357,-868.357136,311996.500105,405355.187943,1092213.164561
2022-01-07,1905.816564,251613.358153,56237.979621,426602.600589,430.052131,122605.488659,1117.307325,49830.654848,-1264.80939,283127.475444,482840.58021,1193470.733334
2022-01-08,1792.324564,204154.749627,14274.950929,223031.682657,397.632545,122588.463198,1048.656857,38849.570358,-1094.770087,389230.31491,237306.633586,995368.3456449999
2022-01-09,1745.959498,174525.027141,11022.453098,196152.731608,421.031385,122547.155628,974.613348,23364.694573,-1105.245672,428395.133642,207175.184706,959148.7999209999
2022-01-10,1664.07622,227721.816343,60622.716362,449691.651702,307.618026,122614.115434,792.264329,34605.783658,-1026.127372,178448.830148,510314.368064,1076468.8722219998
2022-01-11,1899.017623,217873.754072,43848.845799,434673.963638,345.420641,122654.407878,786.313118,37706.123227,-941.419442,251946.183461,478522.809437,1111734.0294570003
2022-01-12,1875.510454,233015.2405,50983.448111,451952.509443,393.384426,122725.286246,845.280531,53598.92817,-860.978704,114043.51543,502935.957554,1029433.1033109999
2022-01-13,1974.456092,239621.052191,58289.185473,453972.013594,326.043791,122716.401096,828.150537,57992.984035,-834.908373,63015.247433,512261.199067,998735.5342420001
2022-01-14,1926.646883,170535.369008,11895.177132,212042.718016,307.765306,122666.778425,1082.561502,42525.335658,-1328.48591,416009.070401,223937.895148,978991.422331
2022-01-15,1936.712818,193228.357139,22074.25929,241070.808135,418.928317,122610.077475,1091.453034,22647.695247,-1160.111501,510364.747847,263145.067425,1115443.039302
2022-01-16,1998.17741,232116.253467,62359.391043,475303.335497,504.970604,122763.776703,674.254992,60616.178999,-777.071253,153956.46286,537662.7265400001,1110292.8015750002
2022-01-17,2013.903022,202923.27994,47321.236059,403925.079368,553.145218,122755.796526,751.05734,54403.229607,-799.092131,239314.392794,451246.315427,1073961.119874
2022-01-18,1890.108135,169533.573038,21289.242463,190212.268477,385.791271,122783.667251,1071.028615,36721.920414,-1198.227727,460341.63548,211501.51094,1004229.2351439999
2022-01-19,1815.210365,181793.1148,21138.293754,173459.044432,343.781321,122737.086593,1096.324645,27598.289527,-1417.277008,453178.416426,194597.338186,983159.561863
2022-01-20,1855.158724,236872.197208,91033.996139,450572.602994,720.757382,122735.548283,763.630261,20471.85614,-786.950038,389608.926454,541606.599133,1314634.673585
2022-01-21,2183.800673,253448.60198,109977.932148,575590.956052,591.206824,122703.693189,899.049396,57857.60342,-1112.727673,190630.966986,685568.8882,1313883.8106680003
2022-01-22,2112.477242,244047.52242,93946.497632,586777.481405,664.849523,122797.184784,637.801183,35260.480996,-747.702117,118089.500457,680723.979037,1204333.795642
2022-01-23,1873.514891,223421.681624,43278.710324,509226.35598,311.173676,122756.299788,723.183265,38059.704392,-829.289097,116467.921055,552505.066304,1056118.5449950001
2022-01-24,1839.510608,213597.85417,42219.988461,465969.231451,395.731813,122857.407292,1147.683023,45905.565608,-1237.364425,162721.92289,508189.219912,1056654.8953159999
2022-01-25,1916.960813,217441.774435,27405.030894,342942.573626,345.110998,122865.026384,1089.568488,56417.998242,-1165.069041,281203.9031,370347.60452000005,1051627.9469800002
2022-01-26,2210.869208,241225.298508,57136.043852,493514.200122,334.315991,122878.416601,793.849688,20410.964227,-1035.486743,175740.877298,550650.243974,1114244.835495
2022-01-27,2248.856697,234069.423712,37781.251298,470752.344454,457.322698,122857.116818,880.644486,35628.472021,-993.924124,161857.568773,508533.595752,1066533.0009570003
2022-01-28,2275.282896,209984.553455,51787.978325,407163.593087,306.429773,122868.225534,1136.220129,65329.878995,-1197.355053,231285.845414,458951.571412,1092138.0076079997
2022-01-29,2134.824801,219676.18599,32302.273874,374696.128174,313.562687,122870.613595,1118.083733,65074.155946,-1318.940611,243071.702041,406998.402048,1061257.5308410001
2022-01-30,2151.626359,209836.024608,17040.535857,325967.098026,357.736426,122872.578508,1170.245618,56815.893838,-1404.417459,247246.611151,343007.633883,983458.3503910002
2022-01-31,1867.604873,219862.034299,17767.468135,320788.007819,306.603541,122841.448991,1281.198093,49882.16643,-1409.628958,228466.081837,338555.47595399996,963062.6140179998
2022-02-01,2045.126159,203046.850858,15540.249759,273266.529101,240.628596,122804.16645,1189.89321,38791.63371,-1461.161544,279048.488184,288806.77886,935973.566027
2022-02-02,2213.156269,158463.9656,39774.186232,313907.59517,384.202489,122742.315519,1133.396733,9217.579421,-1366.504339,411600.621946,353681.781402,1059437.019379
2022-02-03,3028.719999,228885.441975,121279.235374,516625.8591,1252.437885,122661.301049,691.135275,25389.1929,-713.17022,409469.772576,637905.094474,1429283.096133
2022-02-04,2966.719541,271525.065636,161783.753957,613526.965281,1459.32087,122766.732171,582.5128,61207.65948,-656.881627,245090.305773,775310.719238,1480909.0355089998
2022-02-05,2655.522594,230113.978385,94344.938352,499763.118079,704.102457,122829.818468,781.205978,61239.066116,-832.726586,268342.857432,594108.056431,1280774.607861
2022-02-06,2253.343151,212972.760265,36439.66044,406895.1825,425.635252,122811.190179,850.36164,62352.671946,-932.21675,306566.851217,443334.84294,1151567.6565900003
2022-02-07,2182.338767,222861.690313,42953.376367,451607.029376,524.112433,122850.967748,1102.149626,71405.887864,-1294.480798,175169.880918,494560.405743,1090657.433412
2022-02-08,2100.447078,197363.180094,25622.928176,361588.946151,384.393494,122786.57938,1308.431576,56938.990635,-1388.638819,312674.26529,387211.874327,1080768.161874
2022-02-09,2143.829569,215971.446087,41250.039122,452906.528524,433.030612,122822.536638,1275.442835,69323.812238,-1228.697857,122023.132917,494156.567646,1028149.7985420001
2022-02-10,1951.399004,225827.904725,31414.64702,420050.708557,368.838062,122774.547107,1174.154846,65761.793301,-1215.272165,123396.580138,451465.35557699995,992720.57276
2022-02-11,1874.977654,155715.208446,11193.544499,201463.566083,279.474425,122710.892146,1126.553067,60844.003089,-1290.49646,416952.489179,212657.11058200002,972160.708588
2022-02-12,1767.761829,196689.406819,31978.657161,272645.573228,265.796971,122653.627872,1168.766861,49436.655565,-1190.311806,349964.246872,304624.23038900003,1026570.493178
2022-02-13,1733.223722,220581.796598,41587.200335,402648.541561,275.79423,122702.297025,841.105928,76059.020796,-1081.605635,213059.808338,444235.741896,1079488.7885329998
2022-02-14,1848.867542,195725.091382,14200.710432,241602.34126,293.133917,122736.467037,1363.507848,75970.696921,-1360.07836,381814.17132,255803.05169199998,1035554.9876590002
2022-02-15,1753.58834,168282.727657,12091.540392,140618.386192,254.820073,122734.174879,1115.946909,20409.632728,-1410.565748,523152.115636,152709.926584,990412.9328060001
2022-02-16,1741.123827,169827.094829,9302.0415,114535.339403,228.338577,122753.092125,1242.330551,28112.937763,-1487.283116,505588.722534,123837.38090300001,953331.0211090001
2022-02-17,1797.073365,204551.863777,24370.121348,207863.649629,270.60748,122671.366588,1191.192722,27435.312319,-1332.870769,438841.159383,232233.770977,1028992.3466109999
2022-02-18,1939.840593,255272.048298,41483.599732,506732.72916,473.793625,122759.952147,949.069073,76709.282487,-1279.055439,133149.116104,548216.328892,1139469.4312190001
2022-02-19,1890.888042,233033.825797,25190.537656,315523.703864,510.947919,122834.319958,961.961097,76321.995839,-1109.193796,250436.84384,340714.24152,1026705.0240120001
2022-02-20,2264.425238,183233.161509,10146.361328,120439.534381,322.110496,122780.845526,1141.856785,44581.735862,-1477.128977,465562.376152,130585.895709,950472.4072769999
2022-02-21,1766.300239,173534.501457,10730.288787,130801.117917,268.927859,122730.179508,1445.934911,31214.901416,-1722.140834,505084.064767,141531.406704,977576.2168609999
2022-02-22,2067.895394,187388.827773,11187.765251,186666.567708,329.124599,122647.212,1266.900018,61710.45744,-1528.269336,440147.405124,197854.332959,1013412.155307
2022-02-23,2135.634724,220760.909161,101447.018824,474386.289525,492.734592,122581.426401,1328.655729,31279.507166,-1182.094253,323854.663043,575833.3083489999,1278266.839165
2022-02-24,2608.876499,279085.94869,185900.70589,678237.583419,724.722004,122723.545518,1707.83047,39706.601136,-1290.593706,70792.149041,864138.289309,1381487.962667
2022-02-25,2418.225035,267088.616232,101175.327162,650987.904996,508.230326,122715.857605,784.384493,48774.122399,-964.061769,173895.311632,752163.232158,1368347.9798799998
2022-02-26,2089.483299,265751.520928,97006.727362,650290.80287,595.684304,122836.054259,804.014706,45797.550488,-1041.097738,78565.738974,747297.530232,1263737.5771900003
2022-02-27,1850.630215,235511.636882,38892.452718,494124.398764,406.442111,122834.819864,884.679895,81519.232688,-1075.921284,143575.480911,533016.851482,1119599.7740479999
2022-02-28,2070.361315,220727.18527,30373.54189,476394.335479,440.691402,122829.520109,1131.601757,62154.137676,-1317.112334,176956.007482,506767.877369,1093077.38238
2022-03-01,551.204179,221020.063213,26152.181412,440424.337946,738.352233,122854.350607,997.39047,51330.430054,-1292.873556,139276.913453,466576.51935799996,1003345.2235669999
2022-03-02,581.919044,213520.939542,29439.709213,382312.96072,1060.733153,122798.001256,1134.183654,71370.739674,-1255.552718,132624.823815,411752.669933,954844.0100710001
2022-03-03,645.360716,211400.68545,25179.210503,297535.198728,778.312289,122711.301847,1388.424486,66278.013344,-1484.248962,207952.509228,322714.409231,933869.0165909999
2022-03-04,640.066388,175541.97094,10673.819127,126547.80267,466.82765,122676.063672,1289.20997,25009.09808,-1542.590577,484176.493249,137221.621797,947021.351746
2022-03-05,621.766308,160239.692457,26796.778183,156789.810238,540.2833,122614.07544,1208.09243,39534.754056,-1417.99072,428897.477488,183586.588421,937242.7298999999
